,hiv_cases_100k,extrapulm_tb_cases_100k,country
56,14520.0,47.0,Lesotho
69,8541.0,60.0,Namibia
84,12846.0,52.0,South Africa
90,17094.0,48.0,Swaziland
104,7402.0,48.0,Zambia
56,13926.0,111.0,Lesotho
69,8661.0,106.0,Namibia
84,12398.0,101.0,South Africa
89,15086.0,137.0,Swaziland
104,8587.0,43.0,Zimbabwe
56,12462.0,105.0,Lesotho
69,8880.0,94.0,Namibia
84,13443.0,82.0,South Africa
89,13579.0,132.0,Swaziland
103,7805.0,71.0,Zambia
14,15548.0,71.0,Botswana
59,8755.0,51.0,Malawi
69,8957.0,77.0,Namibia
84,11805.0,39.0,South Africa
89,12221.0,55.0,Swaziland
