,hiv_cases_100k,extrapulm_tb_cases_100k,country
56,4.157258345042429,1.239896902309043,Lesotho
69,2.2486631324115898,1.7908733393880047,Namibia
84,3.62288999148096,1.451810916570182,South Africa
90,4.978921512346624,1.2822797051612707,Swaziland
104,1.8850755847971847,1.2822797051612707,Zambia
56,4.064862825751975,2.512432406719107,Lesotho
69,2.3388861339056355,2.370905903121732,Namibia
84,3.563952591157254,2.229379399524358,South Africa
89,4.445134993376239,3.2483702254254547,Swaziland
104,2.3146273921778806,0.5876719577948126,Zimbabwe
56,3.5461222038864197,3.2157622779894526,Lesotho
69,2.378755401557536,2.800323558829503,Namibia
84,3.8658281874388023,2.3471176833822844,South Africa
89,3.9101503217539135,4.235475497745694,Swaziland
103,2.0284150016402975,1.9316789642223344,Zambia
14,4.47712145161278,1.6200855570748884,Botswana
59,2.3008815387950854,1.0128245718259343,Malawi
69,2.365595282706343,1.8022638526495747,Namibia
84,3.277994998841305,0.6484679806765618,South Africa
89,3.411266867490232,1.1342767688757251,Swaziland
