,country,year,population,tb_all_cases,tb_all_cases_100k,tb+hiv_cases,tb+hiv+cases_100k,%_tb+hiv_cases,hiv_cases,hiv_cases_100k
165,Swaziland,2015,1286970,7300,565.0,5200.0,408.0,72.0,220000,17094.0
95,Lesotho,2015,2135022,17000,788.0,12000.0,566.0,72.0,310000,14520.0
159,South Africa,2015,54490406,454000,834.0,258000.0,473.0,57.0,7000000,12846.0
117,Namibia,2015,2458830,12000,489.0,4900.0,199.0,41.0,210000,8541.0
191,Zambia,2015,16211767,63000,391.0,38000.0,235.0,60.0,1200000,7402.0
164,Swaziland,2010,1193148,15000,1246.0,12000.0,1009.0,81.0,180000,15086.0
95,Lesotho,2010,2010586,23000,1119.0,17000.0,854.0,76.0,280000,13926.0
159,South Africa,2010,51621594,489000,948.0,295000.0,571.0,60.0,6400000,12398.0
117,Namibia,2010,2193643,14000,643.0,7700.0,353.0,55.0,190000,8661.0
191,Zimbabwe,2010,13973897,58000,416.0,45000.0,322.0,77.0,1200000,8587.0
164,Swaziland,2005,1104642,14000,1292.0,11000.0,1040.0,81.0,150000,13579.0
159,South Africa,2005,48352951,451000,932.0,276000.0,571.0,61.0,6500000,13443.0
95,Lesotho,2005,1925844,25000,1279.0,19000.0,962.0,75.0,240000,12462.0
117,Namibia,2005,2027026,19000,920.0,11000.0,545.0,59.0,180000,8880.0
190,Zambia,2005,12043591,73000,602.0,49000.0,406.0,67.0,940000,7805.0
22,Botswana,2000,1736579,16000,914.0,11000.0,648.0,71.0,270000,15548.0
162,Swaziland,2000,1063715,8900,832.0,7000.0,660.0,79.0,130000,12221.0
157,South Africa,2000,44896856,263000,585.0,157000.0,349.0,60.0,5300000,11805.0
116,Namibia,2000,1897953,13000,711.0,8000.0,422.0,59.0,170000,8957.0
101,Malawi,2000,11193230,44000,392.0,32000.0,290.0,74.0,980000,8755.0
