,country,year,population,tb_all_cases,tb_all_cases_100k,tb+hiv_cases,tb+hiv+cases_100k,%_tb+hiv_cases,hiv_cases,hiv_cases_100k
109,Mexico,2015,127017224,27000,21.0,3000.0,2.3,11.0,200000,157.0
122,Nicaragua,2015,6082032,3100,51.0,150.0,2.5,5.0,9900,163.0
52,Ecuador,2015,16144363,8400,52.0,1000.0,6.2,12.0,29000,180.0
64,Georgia,2015,3999812,4000,99.0,260.0,6.4,6.4,9600,240.0
123,Niger,2015,19899120,19000,95.0,1000.0,5.2,5.4,49000,246.0
162,Sudan,2010,46171360,49000,107.0,2000.0,4.3,4.0,44000,95.0
64,Georgia,2010,4250132,5400,127.0,220.0,5.1,4.0,6200,146.0
168,Tajikistan,2010,7581696,9700,128.0,240.0,3.1,2.5,12000,158.0
20,Bolivia (Plurinational State of),2010,9918245,13000,135.0,430.0,4.3,3.2,16000,161.0
119,Nepal,2010,26875910,44000,163.0,2400.0,8.9,5.5,46000,171.0
109,Mexico,2005,109747906,23000,21.0,1100.0,1.0,4.9,150000,137.0
15,Belarus,2005,9640616,7100,74.0,110.0,1.2,1.6,14000,145.0
20,Bolivia (Plurinational State of),2005,9125405,14000,158.0,440.0,4.9,3.1,14000,153.0
119,Nepal,2005,25506847,42000,163.0,2500.0,9.7,5.9,47000,184.0
133,Peru,2005,27610406,42000,153.0,2000.0,7.4,4.8,60000,217.0
34,Chile,2000,15170387,3500,23.0,110.0,0.7,3.0,15000,99.0
69,Guatemala,2000,11688660,3600,31.0,380.0,3.2,10.0,16000,137.0
109,Mexico,2000,102808590,30000,29.0,1600.0,1.5,5.3,150000,146.0
36,Colombia,2000,40403959,15000,36.0,620.0,1.5,4.2,60000,149.0
6,Argentina,2000,37057453,14000,37.0,710.0,1.9,5.2,66000,178.0
